IncidentNum,incident_type,vic_type,mo,weapon_used,gang_related
207055-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,A/P BIT OFFICER ON THE LEFT HAND CAUSING INJURY,Personal Weapons (Hands-Feet ETC),UNK
243817-2018,TRAF VIO -OPERATE MOTOR VEH W/O FIN RESP,Government,A/P WAS UNABLE TO PROVIDE PROOF OF INSURANCE,,
245226-2018,OTHER OFFENSE - MISDEMEANOR,Government,AP WAS IN POSSESSION OF DRUG PARAPHERNALIA,,
133767-2019,POSS MARIJUANA <2OZ,Government,A/P WAS IN POSSESSION OF MARIJUANA.,,
273676-2018,POSS CONT SUB PEN GRP 1 <1G,Government,AP WAS IN POSSESSION OF COCAINE,,
183346-2018,HARASSMENT OF PUBLIC SERVANT,Individual,THE ARRESTED PERSON SPAT ON OFFICERS AND BODILY FLUID MADE CONTAC,,UNK
003855-2019,CRIMINAL TRESPASS,Individual,AP CLIMBED SECURED FENCE AND ENTERED PROPERTY WITHOUT CONSENT.,,
121570-2019,DWI,Government,A/P LOST THE PHYSICAL AND MENTAL USE OF HIS FACULTIES,,
141394-2018,PUBLIC INTOXICATION,Government,A/P WAS INTOXICATED IN PUBLIC,,
203990-2018,CRIMINAL TRESPASS WARNING,Business,CRIMINAL TRESPASS WARNING,,
254348-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,SUSP BIT DALLAS POLICE OFFICER ON FOREARM,Other,UNK
224329-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,A/P INTENTIONALLY BIT AND SCRATCHED DALLAS POLICE OFFICERS,Personal Weapons (Hands-Feet ETC),UNK
171960-2018,EVADING ARREST DETENTION,Society/Public,"WHILE BEING DETAINED, AP FLED LOC ON FOOT.",,
177010-2017,HARASSMENT OF PUBLIC SERVANT,Individual,A/P SPIT ON A/OS FACES MAKING SKIN CONTACT,Other,No
074309-2019,OTHER OFFENSE - MISDEMEANOR,Society/Public,AP WAS FOUND TO BE IN POSSESSION OF DRUG PARAPHERNALIA,,
012738-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,SUSPECT TOOK COMPS VEHICLE WITHOUT CONSENT.,Omission/Neglect,No
121570-2019,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,A/P KICKED THE A/P IN THE FACE CAUSING PAIN,Other,UNK
151633-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN A PUBLIC PLACE,,
003855-2019,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,AP STRUCK COMP AGGRESSIVELY WITH AP'S CHEST.,Personal Weapons (Hands-Feet ETC),UNK
069984-2018,TRAF VIO -DRIV W/OUT LIC INV W/PREV CONV/SUSP/W/O FIN RES,Government,AP OPERATED VEHICLE WITH AN INVALID LICENSE DUE TO PREVIOUS DWI,,
187215-2018,PUBLIC INTOXICATION,Society/Public,AP WAS INTOXICATED IN PUBLIC.,,
197777-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,AP STRUCK COMP WITH CLOSED FIST; COMP WAS A PUB SERV,Personal Weapons (Hands-Feet ETC),UNK
121570-2019,RESIST ARREST SEARCH OR TRANSPORT,Government,A/P PULLED AWAY MULTIPLE TIMES WHILE HANDCUFFED,,
158411-2018,ASSAULT -PUB SERV (NON LAW ENF) - BODILY INJURY ONLY,Law Enforcement Offi,AP KICKED COMP CAUSING PAIN.,Other,UNK
278053-2018,POSS CONT SUB PEN GRP 2-A < OR EQUAL 2 OZ,Society/Public,THE AP WAS IN POSSESSION ON K2,,
193645-2018,FAIL TO ID -REFUSES TO PROVIDE INFO,Government,A/P WOULD NOT GIVE HER INFORMATION,,
084570-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMPS VEHICLE WITHOUT CONSENT,,
043548-2019,PUBLIC INTOXICATION,Government,THE AP WAS INTOXICATED IN PUBLIC.,,
221007-2018,HARASSMENT OF PUBLIC SERVANT,Law Enforcement Offi,AP SPIT BLOOD AND SALIVA IN OFFICER VICTIM.,,UNK
173313-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,A/P KICKED COMP IN RIGHT KNEE AND STRUCK CLOSED FIST IN CHEST,Personal Weapons (Hands-Feet ETC),UNK
249978-2018,PUBLIC INTOXICATION,Government,AP  WAS INTOXICATED IN PUBLIC,,
134813-2021,THEFT OF PROP <$100 -SHOPLIFTING - (NOT BY EMPLOYEE),Business,"A/P TOOK COMP'S MERCHANDISE, WALKED OUT OF STORE WITHOUT PAYING",,
279327-2018,DWI 1 PREV CONV,Government,AP WAS DRIVING WHILE INTOXICATED ON A PUBLIC ROADWAY,,
061537-2018,POSS MARIJUANA <2OZ *DRUG FREE ZONE*,Society/Public,APS POSSESSED MARIJUANA ON OR ABOUT THEIR PERSON,,
248611-2018,PUBLIC INTOXICATION,Government,INTOXICATED IN PUBLIC,,
248260-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,AP BIT OFFICER'S ARM CAUSING MINOR ABRASION,Other,UNK
187135-2018,CRIMINAL TRESPASS,Individual,AP INTOXICATED IN PUBLIC,,
264888-2018,POSS MARIJUANA <2OZ,Government,"SUSP IN CARE, CUSTODY, CONTROL OF MARIJUANNA.",,
256969-2018,OBSTRUCTION OR RETALIATION,Law Enforcement Offi,AP THREATENED TO KILL COMP AND CHILDREN BECAUSE HE ARRESTED HIM,,
246418-2018,RESIST ARREST SEARCH OR TRANSPORT,Government,AP USED FORCE AGAINST AOS WHO WERE TRYING TO ARREST HIM,,
105343-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP/S TOOK COMPS VEHICLE WITHOUT CONSENT,,
261714-2018,FAIL TO ID -GIVING FALSE/FICTITIOUS INFO PC 38.02(c)(2),Government,AP GAVE A FALSE NAME AND DATE OF BIRTH,,
270954-2018,RESIST ARREST SEARCH OR TRANSPORT,Society/Public,AP RESISTED ARREST,,
015444-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,UNK SUSP TOOK COMP VEHICLE W/O CONSENT,Other,UNK
242248-2018,POSS MARIJUANA <2OZ,Government,AP WAS IN POSSESSION OF MARIJUANA,,
272859-2018,POSS MARIJUANA <2OZ,Government,AP JOHNSON WAS IN POSS OF MARIJUANA,,
118541-2017,OBSTRUCTION OR RETALIATION,Individual,AP MADE THREATS AGAINST AO,Threats,No
159255-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,"AP BIT ARRESTING OFFICER ON THE RIGHT ARM, DID NOT BREAK SKIN.",Personal Weapons (Hands-Feet ETC),UNK
171457-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,SUSP ASSAULTED A PUB SERV BY HITTING PUB SERV WITH HIS HEAD,Personal Weapons (Hands-Feet ETC),UNK
183346-2018,HARASSMENT OF PUBLIC SERVANT,Law Enforcement Offi,THE ARRESTED PERSON SPAT ON OFFICERS AND BODILY FLUID MADE CONTAC,,UNK
278343-2018,PUBLIC INTOXICATION,Government,AP WAS IN PARKED CAR IN MIDDLE OF ROADWAY PASSED OUT W/ CAR ON,,
227918-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,PUNCHED OFFICER IN CHEST CAUSING PAIN,Personal Weapons (Hands-Feet ETC),UNK
060055-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,AP STRUCK UNIFIORMED PEACE OFFICER WITH HIS FIST CAUSING INJURY,Personal Weapons (Hands-Feet ETC),UNK
278273-2018,DWI,Government,SUSP OPERATING MOTOR VEHICLE UNDER THE INFLUENCE,,
260155-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN PUBLIC,,
230774-2018,HARASSMENT OF PUBLIC SERVANT,Law Enforcement Offi,ARRESTEE SPIT ON COMPLAINANT'S ARM.,,UNK
122003-2019,EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),Government,ARRESTED PERSON EVAVDED ARREST DETENTION W/ MOTOR VEHICLE.,,
170101-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Individual,AP USED COMP'S VEHICLE WITHOUT PERMISSION,,
203990-2018,PUBLIC INTOXICATION,Government,A/P WAS IN A PUBLIC PLACE INTOXICATED AND CAUSING DISTURBANCE,,
197777-2018,ASSAULT -BODILY INJURY ONLY,Individual,"AP SCRATCHED COMP ON HEAD WITH HER FINGERNAILS, CAUSING PAIN",Personal Weapons (Hands-Feet ETC),UNK
066284-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,AP KICKED COMP ON HER LEFT WRIST CAUSING PAIN,Personal Weapons (Hands-Feet ETC),UNK
142020-2018,FICTITIOUS LICENSE PLATE,Government,A/P DISPLAYED A FICTITIOUS PAPER TAG ON THE REAR OF HIS VEHICLE.,,
073160-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,A/P GRABBED A/O BY THE HAIR AND STARTED HITTING A/O,Personal Weapons (Hands-Feet ETC),UNK
101885-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,"AP PALMER, J ASSAULTED DPD OFFICER IN FULL UNIFORM",Personal Weapons (Hands-Feet ETC),UNK
249367-2018,FOUND PROPERTY (NO OFFENSE),Government,FOUND PROPERTY,,
143120-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,UNKOWN SUSP TOOK VEHICLE WITHOUT CONSENT,,
102257-2019,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,,
224329-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,A/P INTENTIONALLY BIT AND SCRATCHED DALLAS POLICE OFFICERS,Personal Weapons (Hands-Feet ETC),UNK
212446-2018,FAIL TO ID -REFUSES TO PROVIDE INFO,Law Enforcement Offi,AP FAILED TO PROVIDE INFORMATION WHILE UNDER LAWFULL ARREST,,
244652-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,AP PUNCHED COMP IN FACE,Personal Weapons (Hands-Feet ETC),UNK
256969-2018,RESIST ARREST SEARCH OR TRANSPORT,Government,AP ATTEMPTED TO KICK OUT WINDOWS AND GET OUT OF CUFFS,,
256580-2017,ASSAULT -PUB SERV (LAW ENF) - BODILY INJURY ONLY,Individual,AP STRUCK COMP WITH HIS RIGHT FOREARM TO COMPS THROAT.,Personal Weapons (Hands-Feet ETC),UNK
140282-2018,POSS MARIJUANA >4OZ< OR EQUAL 5LBS,Society/Public,AP WAS ARRESTED FOR POSESSION OF MARIJUANA.,,
224329-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,A/P INTENTIONALLY BIT AND SCRATCHED DALLAS POLICE OFFICERS,Personal Weapons (Hands-Feet ETC),UNK
262629-2018,HARASSMENT OF PUBLIC SERVANT,Law Enforcement Offi,"THE AP SPIT ON COMPS MOUTH, MAKING CONTACT WITH MOUTH",,UNK
135784-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,AP BIT POLICE OFFICERS ARM CAUSING BODILY INJURY.,Personal Weapons (Hands-Feet ETC),UNK
142048-2018,INTERFERE W/ PUBLIC DUTIES,Government,AP ATTEMPTED TO STOP AOS FROM HANDCUFFING A SUSPECT UNDER ARREST,,
220857-2018,HARASSMENT OF PUBLIC SERVANT,Law Enforcement Offi,A/P SPAT ON COMP'S FACE,,UNK
187215-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,AP ASSAULTED UNIFORMED DALLAS POLICE OFFICER.,Personal Weapons (Hands-Feet ETC),UNK
151640-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,AP KICK UNIFORMED OFFICER IN THE GROIN CAUSING PAIN,Personal Weapons (Hands-Feet ETC),UNK
015547-2017,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Individual,AN  UNK SUSP TOOK COMPS VEHICLE WITHOUT PERMISSION.,Other,UNK
265616-2018,POSS MARIJUANA <2OZ,Government,ARRESTEE WAS IN POSSESSION OF MARIJUANA.,,
272127-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN A PUBLIC ROADWAY,,
073160-2018,PUBLIC INTOXICATION,Society/Public,A/P WAS INTOXICATED IN PUBLIC AREA,,
261037-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,AP STRUCK COMP IN FACE CAUSING INJURY,Other,UNK
203990-2018,RESIST ARREST SEARCH OR TRANSPORT,Government,A/P RESISTED ARREST,,
068296-2018,HARASSMENT OF PUBLIC SERVANT,Law Enforcement Offi,AP SPIT ON OFFICER'S BARE SKIN,,UNK
220857-2018,PUBLIC INTOXICATION,Society/Public,A/P WAS A DANGER TO HIMSELF AND OTHERS IN PUBLIC WHILE INTOX,,
161646-2018,HARASSMENT OF PUBLIC SERVANT,Law Enforcement Offi,AP SPIT ON THE FACE OF LEO COMPLAINANT,,UNK
170746-2018,ASSAULT -PUB SERV (PEACE OFFICER/JUDGE),Law Enforcement Offi,AP ASSUALTED A PEACE OFFICER,Personal Weapons (Hands-Feet ETC),UNK
